asset,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,calmar_bench,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,rebate_ann,spread_ann,n_levels,level_step_bps,order_size,crisis_vol,crisis_trim,ema_len,inv_decay,train_score,train_bars,test_bars,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig,dsr,dsr_sig
SPY,0.493653,0.149332,0.344321,2.665155,0.884264,2.706860,1.962820,0.470711,0.251502,0.317247,4.822291,697.360962,6.250101,3343,92763,27.748430,0.000223,0.554254,20,8,0.030000,0.250000,0.300000,10,0.900000,4.762887,5013,3343,0.000000,True,2.024360,3.401767,0.000000,True,0.000000,True,0.000000,False
QQQ,0.578686,0.192382,0.386304,2.541460,0.868202,2.640045,2.627012,0.595688,0.220283,0.322957,4.144167,522.172443,7.013139,2726,86820,31.848863,0.000243,0.689961,20,8,0.030000,0.250000,0.300000,10,0.900000,5.618494,4088,2726,0.000000,True,1.900420,3.309506,0.000000,True,0.000000,True,0.000000,False
IWM,0.515145,0.116112,0.399034,2.174419,0.505756,2.374299,1.395216,0.298263,0.369223,0.389294,4.073912,203.613868,2.317996,2603,90922,34.929697,0.000264,0.725926,20,8,0.030000,0.250000,0.300000,10,0.900000,5.385737,3903,2603,0.000000,True,1.467901,2.945003,0.000000,True,0.000000,True,0.000000,False
EFA,0.325908,0.101835,0.224073,1.843712,0.589947,1.821291,1.174892,0.316063,0.277394,0.322198,3.410762,23.617769,1.720922,2477,51776,20.902705,0.000163,0.478475,20,8,0.030000,0.160000,0.300000,10,0.900000,2.993805,3714,2477,0.000000,True,1.123716,2.662244,0.000000,True,0.000000,True,0.000000,False
EEM,0.308945,0.095426,0.213519,1.359592,0.466970,1.461138,0.976569,0.253724,0.316358,0.376102,2.870579,16.062816,1.401885,2314,50007,21.610631,0.000158,0.525296,20,8,0.030000,0.160000,0.100000,10,0.900000,3.164350,3471,2314,0.000000,True,0.712727,2.117216,0.000000,True,0.000000,True,0.000000,False
GLD,0.344371,0.159484,0.184886,2.155211,0.975892,2.278327,2.041414,0.774737,0.168692,0.205856,2.663339,17.957199,2.906256,2153,46596,21.642359,0.000168,0.462612,20,8,0.030000,0.160000,0.300000,10,0.900000,3.292924,3228,2153,0.000000,True,1.496404,2.897570,0.000000,True,0.000000,True,0.000000,False
TLT,0.240454,-0.006213,0.246667,1.505411,-0.041274,1.949274,1.171828,-0.013533,0.205195,0.459112,3.786657,8.744235,-0.057129,2386,53141,22.272003,0.000173,0.465779,20,8,0.030000,0.200000,0.300000,10,0.900000,3.820809,3577,2386,0.000000,True,0.925632,2.149032,0.000000,True,0.000000,True,0.000000,False
DIA,0.438772,0.122113,0.316659,2.416775,0.705197,2.437713,1.520434,0.354846,0.288583,0.344129,4.613325,139.455480,2.959792,2840,72986,25.699296,0.000203,0.527053,20,8,0.030000,0.200000,0.300000,10,0.900000,4.503898,4260,2840,0.000000,True,1.728366,3.241551,0.000000,True,0.000000,True,0.000000,False
VGK,0.343952,0.099195,0.244757,1.816329,0.510971,1.899643,1.172441,0.281912,0.293364,0.351864,3.346412,17.106896,1.305464,2122,46290,21.814326,0.000165,0.525661,20,8,0.030000,0.160000,0.300000,10,0.900000,3.001445,3183,2122,0.000000,True,1.059057,2.689293,0.000000,True,0.000000,True,0.000000,False
ACWI,0.445964,0.139834,0.306129,2.449740,0.752615,2.459931,1.753730,0.442222,0.254294,0.316208,4.393969,23.872664,1.739276,1816,44754,24.644273,0.000193,0.553388,20,8,0.030000,0.160000,0.300000,10,0.900000,3.217838,2722,1816,0.000000,True,1.578993,3.543057,0.000000,True,0.000000,True,0.000000,False
